[INF] Relay controller initialized with 2 relay(s)

--- WELDED ---
CONSTANTLY_OPEN tick= 4 | ctrl=NORMAL | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=NONE
CONSTANTLY_OPEN tick= 5 | ctrl=NORMAL | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=NONE
CONSTANTLY_OPEN tick= 6 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick= 7 | ctrl=NORMAL | Relay_NO_1 fb=OPEN fault=NONE | Relay_NC_1 fb=OPEN fault=NONE
CONSTANTLY_OPEN tick= 8 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick= 9 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick=10 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick=11 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick=12 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick=13 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick=14 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick=15 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick=16 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
CONSTANTLY_OPEN tick=17 | ctrl=NORMAL | Relay_NO_1 fb=CLOSED fault=NONE | Relay_NC_1 fb=CLOSED fault=NONE
